row_id,year,id,GDP（亿元）,地方一般公共预算支出（亿元）,环境保护支出（亿元）,占比
341,2017,新疆,10881.96,4637.24,54.66,0.0117871837558548
342,2018,北京,30319.98,7471.4332,399.45,0.05346363800723
343,2018,天津,18809.64,3103.1579,66.46,0.0214168927723594
344,2018,河北,36010.27,7726.2086,433.55,0.056114198107465
345,2018,山西,16818.11,4283.9099,170.29,0.0397510694611014
346,2018,内蒙古,17289.22,4831.4587,162.72,0.0336792695754597
347,2018,辽宁,25315.35,5337.715,94.21,0.0176498745249606
348,2018,吉林,15074.62,3789.5894,120.79,0.0318741655758273
349,2018,黑龙江,16361.62,4676.7503,154.09,0.0329480921827278
350,2018,上海,32679.87,8351.5376,233.39,0.0279457521690377
351,2018,江苏,92595.4,11657.3521,317.99,0.0272780642870005
352,2018,浙江,56197.15,8629.5256,194.75,0.022567868620727
353,2018,安徽,30006.82,6572.1484,209.32,0.0318495547057337
354,2018,福建,35804.04,4832.693,124.04,0.0256668486907817
355,2018,江西,21984.78,5667.5207,162.55,0.0286809715578101
356,2018,山东,76469.67,10100.9606,287.2,0.0284329393384625
357,2018,河南,48055.86,9217.7286,358.7,0.0389141420371175
358,2018,湖北,39366.55,7258.2663,211.3,0.0291116351021731
359,2018,湖南,36425.78,7479.6148,190.89,0.0255213677581364
360,2018,广东,97277.77,15729.2571,567.41,0.0360735409430112
361,2018,广西,20352.51,5310.741,79.45,0.0149602475436102
362,2018,海南,4832.05,1691.3027,61.24,0.036208775637856
363,2018,重庆,20363.19,4540.9487,160.19,0.0352767693675993
364,2018,四川,40678.13,9707.5048,226.9,0.0233736685868031
365,2018,贵州,14806.45,5029.6774,134.38,0.0267174192921399
366,2018,云南,17881.12,6075.0283,169.81,0.0279521331612562
367,2018,西藏,1477.63,1970.6768,44.93,0.0227992738332333
368,2018,陕西,24438.32,5302.443,176.02,0.033196019268854
369,2018,甘肃,8246.07,3772.233,127.82,0.0338844392697906
370,2018,青海,2865.23,1647.4296,63.51,0.0385509644843094
371,2018,宁夏,3705.18,1419.0592,72.38,0.0510056240077933
372,2018,新疆,12199.08,5012.4518,94.33,0.0188191335824915
373,2019,北京,35371.28,7408.1876,308.8057,0.0416843790510921
374,2019,天津,14104.28,3555.7052,242.2857,0.0681399852833694
375,2019,河北,35104.52,8309.0391,502.4972,0.0604759700793802
376,2019,山西,17026.68,4710.7629,226.1475,0.0480065553713179
377,2019,内蒙古,17212.53,5100.9101,154.4824,0.0302852622319299
378,2019,辽宁,24909.45,5745.0884,129.7274,0.0225805750874086
379,2019,吉林,11726.82,3933.4231,147.9673,0.037617946566694
380,2019,黑龙江,13612.68,5011.5589,211.0589,0.0421144207244576
381,2019,上海,38155.32,8179.284,184.0737,0.0225048671741928
382,2019,江苏,99631.52,12573.5537,372.7726,0.0296473541923156
383,2019,浙江,62351.74,10053.0335,269.5485,0.0268126531160967
384,2019,安徽,37113.98,7392.2226,312.115,0.0422220781067929
385,2019,福建,42395.0,5077.9329,179.5465,0.0353581867928976
386,2019,江西,24757.5,6386.8022,194.2833,0.0304194953775146
387,2019,山东,71067.53,10739.756,306.4956,0.028538413721876
388,2019,河南,54259.2,10163.9304,352.2869,0.0346604990526106
389,2019,湖北,45828.31,7970.207,282.1321,0.0353983403442345
390,2019,湖南,39752.12,8034.4155,242.6823,0.0302053459893878
391,2019,广东,107671.07,17297.8532,747.4388,0.0432099169392882
392,2019,广西,21237.14,5850.9609,99.8405,0.0170639492736996
393,2019,海南,5308.93,1858.597,64.9827,0.0349633083449505
394,2019,重庆,23605.77,4847.6795,172.9521,0.0356772967354793
395,2019,四川,46615.82,10348.1712,267.0062,0.0258022596301847
396,2019,贵州,16769.34,5948.7444,188.53,0.0316924021815427
397,2019,云南,23223.75,6770.0881,205.1577,0.0303035495210173
398,2019,西藏,1697.82,2187.7492,40.9062,0.0186978470841173
