row_id,year,id,GDP（亿元）,第一产业增加值（亿元）,第二产业增加值（亿元）,第三产业增加值（亿元）,第一产业占比,第二产业占比,第三产业占比,自2014年开始统计年鉴采用 一二三产业增加值
315,2011,内蒙古,14359.88,1306.3,8037.69,5015.89,0.0909687267581623,0.559732393306908,0.34929887993493,
316,2011,辽宁,22226.7,1915.57,12152.15,8158.98,0.0861832840682602,0.54673658257861,0.367080133353129,
317,2011,吉林,10568.83,1277.44,5611.48,3679.91,0.120868629734796,0.530946187988642,0.348185182276562,
318,2011,黑龙江,12582.0,1701.5,6330.53,4549.97,0.135232872357336,0.503141789858528,0.361625337784136,
319,2011,上海,19195.69,124.94,7927.89,11142.86,0.00650875274605914,0.413003648214782,0.580487599039159,
320,2011,江苏,49110.27,3064.77,25203.28,20842.21,0.062405887811246,0.513197748658274,0.424396159907083,
321,2011,浙江,32318.85,1583.04,16555.58,14180.23,0.0489819408797033,0.512257707189458,0.438760351930839,
322,2011,安徽,15300.65,2015.31,8309.38,4975.95,0.131714012149811,0.543073660269335,0.325211674013849,
323,2011,福建,17560.18,1612.24,9069.2,6878.74,0.0918122707170428,0.516463954241927,0.39172377504103,
324,2011,江西,11702.82,1391.07,6390.55,3921.2,0.118866221987521,0.546069238012718,0.335064539999761,
325,2011,山东,45361.85,3973.85,24017.11,17370.89,0.0876033495106571,0.529456139906111,0.382940510583232,
326,2011,河南,26931.03,3512.24,15427.08,7991.72,0.130416103654409,0.572836612636056,0.296747655028419,
327,2011,湖北,19632.26,2569.3,9815.94,7247.02,0.130871331166152,0.499990322051562,0.369138346782286,
328,2011,湖南,19669.56,2768.03,9361.99,7539.54,0.140726584631278,0.475963366745367,0.383310048623355,
329,2011,广东,53210.28,2665.2,26447.38,24097.7,0.0500880656895622,0.49703515937146,0.452876774938978,
330,2011,广西,11720.87,2047.23,5675.32,3998.33,0.174665361871602,0.48420637717166,0.341129114135725,
331,2011,海南,2522.66,659.23,714.5,1148.93,0.261323365019464,0.283232778099308,0.455443856881229,
332,2011,重庆,10011.37,844.52,5543.04,3623.81,0.0843560871289344,0.553674472125194,0.361969440745872,
333,2011,四川,21026.68,2983.51,11029.13,7014.04,0.14189163481824,0.524530263455762,0.333578101725998,
334,2011,贵州,5701.84,726.22,2194.33,2781.29,0.127365902936596,0.384845944467049,0.487788152596355,
335,2011,云南,8893.12,1411.01,3780.32,3701.79,0.158663101363751,0.425083660177755,0.416253238458494,
336,2011,西藏,605.83,74.47,208.79,322.57,0.122922271924467,0.344634633478038,0.532443094597494,
337,2011,陕西,12512.3,1220.9,6935.59,4355.81,0.0975759852305332,0.554301767061212,0.348122247708255,
338,2011,甘肃,5020.37,678.75,2377.83,1963.79,0.135199198465452,0.473636405284869,0.391164396249679,
339,2011,青海,1670.44,155.08,975.18,540.18,0.092837815186418,0.583786307799143,0.323375877014439,
