row_id,admincode,region,zone,year,urir,rrd
426,350000,福建,东部,2018,2.36356,67.453875
427,350000,福建,东部,2019,2.331357,69.149737
428,350000,福建,东部,2020,2.258621,70.384615
429,350000,福建,东部,2021,2.201558,72.49803
430,350000,福建,东部,2022,2.1538,74.660272
431,350000,福建,东部,2023,2.101377,79.190751
432,350000,福建,东部,2024,2.060053,
433,540000,西藏,西部,2007,4.060791,209.69163
434,540000,西藏,西部,2008,4.004106,220.614035
435,540000,西藏,西部,2009,3.914464,229.565217
436,540000,西藏,西部,2010,3.700703,257.758621
437,540000,西藏,西部,2011,3.376177,259.832636
438,540000,西藏,西部,2012,3.222534,264.197531
439,540000,西藏,西部,2013,3.112162,288.79668
440,540000,西藏,西部,2014,2.991711,310
441,540000,西藏,西部,2015,3.087943,328.085106
442,540000,西藏,西部,2016,3.057181,346.781116
443,540000,西藏,西部,2017,2.969119,376.39485
444,540000,西藏,西部,2018,2.951703,410.683761
445,540000,西藏,西部,2019,2.88858,433.474576
446,540000,西藏,西部,2020,2.81929,495.319149
447,540000,西藏,西部,2021,2.746456,508.62069
448,540000,西藏,西部,2022,2.677412,521.052632
449,540000,西藏,西部,2023,2.604899,540.807175
450,540000,西藏,西部,2024,2.569469,
451,520000,贵州,西部,2007,4.211401,45.855718
452,520000,贵州,西部,2008,3.908545,47.744213
453,520000,贵州,西部,2009,3.951852,55.645161
454,520000,贵州,西部,2010,3.734873,63.525836
455,520000,贵州,西部,2011,3.648144,66.201483
456,520000,贵州,西部,2012,3.606901,68.971554
457,520000,贵州,西部,2013,3.486775,73.093972
458,520000,贵州,西部,2014,3.380003,77.469276
459,520000,贵州,西部,2015,3.327467,82.553191
460,520000,贵州,西部,2016,3.305686,87.194526
461,520000,贵州,西部,2017,3.278836,90.488173
462,520000,贵州,西部,2018,3.251544,93.571799
463,520000,贵州,西部,2019,3.198587,100.160686
464,520000,贵州,西部,2020,3.100498,103.707803
465,520000,贵州,西部,2021,3.050016,106.310404
466,520000,贵州,西部,2022,2.997447,108.266361
467,520000,贵州,西部,2023,2.886684,116.324134
468,520000,贵州,西部,2024,2.810166,
469,210000,辽宁,东部,2007,2.734509,45.267959
470,210000,辽宁,东部,2008,2.756048,46.925754
471,210000,辽宁,东部,2009,2.841594,46.019756
472,210000,辽宁,东部,2010,2.771249,47.285887
473,210000,辽宁,东部,2011,2.666583,51.080051
474,210000,辽宁,东部,2012,2.674981,53.892216
475,210000,辽宁,东部,2013,2.627399,58.743169
476,210000,辽宁,东部,2014,2.598695,62.465181
477,210000,辽宁,东部,2015,2.581571,68.181818
478,210000,辽宁,东部,2016,2.552286,70.081663
479,210000,辽宁,东部,2017,2.545501,73.100304
480,210000,辽宁,东部,2018,2.547898,75.39185
481,210000,辽宁,东部,2019,2.469394,79.447604
482,210000,辽宁,东部,2020,2.313811,87.510549
483,210000,辽宁,东部,2021,2.240256,90.608696
484,210000,辽宁,东部,2022,2.210317,91.438658
485,210000,辽宁,东部,2023,2.136387,94.494585
486,210000,辽宁,东部,2024,2.109655,
487,500000,重庆,西部,2007,3.302809,66.620879
488,500000,重庆,西部,2008,3.176962,70.704225
489,500000,重庆,西部,2009,3.182357,73.265896
490,500000,重庆,西部,2010,2.981034,78.892989
491,500000,重庆,西部,2011,2.803482,81.962264
492,500000,重庆,西部,2012,2.790725,85.736434
493,500000,重庆,西部,2013,2.714942,89.33121
494,500000,重庆,西部,2014,2.649842,95.102041
495,500000,重庆,西部,2015,2.592956,109.467456
496,500000,重庆,西部,2016,2.563858,115.701754
497,500000,重庆,西部,2017,2.547318,123.727273
498,500000,重庆,西部,2018,2.531674,137.121212
499,500000,重庆,西部,2019,2.507038,159.23001
500,500000,重庆,西部,2020,2.445205,170.408163
501,500000,重庆,西部,2021,2.403425,177.859391
502,500000,重庆,西部,2022,2.356392,183.494105
503,500000,重庆,西部,2023,2.278338,189.712389
504,500000,重庆,西部,2024,2.240133,
505,610000,陕西,西部,2007,3.745751,51.044505
506,610000,陕西,西部,2008,3.739401,56.432884
507,610000,陕西,西部,2009,3.717356,63.48528
508,610000,陕西,西部,2010,3.427072,67.176703
509,610000,陕西,西部,2011,3.252371,70.534813
510,610000,陕西,西部,2012,3.22498,77.678571
511,610000,陕西,西部,2013,3.150874,82.193268
512,610000,陕西,西部,2014,3.071861,85.094549
513,610000,陕西,西部,2015,3.040626,89.14417
514,610000,陕西,西部,2016,3.02682,92.776791
515,610000,陕西,西部,2017,3.001461,96.579108
516,610000,陕西,西部,2018,2.971462,101.071879
517,610000,陕西,西部,2019,2.928606,106.417813
518,610000,陕西,西部,2020,2.843797,109.952607
519,610000,陕西,西部,2021,2.761139,114.255911
520,610000,陕西,西部,2022,2.701923,116.783708
521,610000,陕西,西部,2023,2.631415,122.149601
522,610000,陕西,西部,2024,2.572724,
523,630000,青海,西部,2007,3.832551,142.900302
524,630000,青海,西部,2008,3.806686,156.097561
525,630000,青海,西部,2009,3.797814,168.209877
526,630000,青海,西部,2010,3.590367,181.350482
527,630000,青海,西部,2011,3.388889,189.473684
528,630000,青海,西部,2012,3.277798,196.644295
529,630000,青海,西部,2013,3.149489,215.172414
530,630000,青海,西部,2014,3.062886,226.855124
531,630000,青海,西部,2015,3.093659,234.408602
532,630000,青海,西部,2016,3.088296,251.851852
533,630000,青海,西部,2017,3.082752,266.283525
534,630000,青海,西部,2018,3.032329,277.689243
535,630000,青海,西部,2019,2.941995,292.18107
536,630000,青海,西部,2020,2.876843,303.797468
537,630000,青海,西部,2021,2.774552,314.655172
538,630000,青海,西部,2022,2.679579,322.270742
539,630000,青海,西部,2023,2.587934,340.271493
540,630000,青海,西部,2024,2.52414,
541,230000,黑龙江,中部,2007,2.655462,74.305162
542,230000,黑龙江,中部,2008,2.573266,82.415006
543,230000,黑龙江,中部,2009,2.621675,82.266588
544,230000,黑龙江,中部,2010,2.440563,82.294118
545,230000,黑龙江,中部,2011,2.262124,86.148238
546,230000,黑龙江,中部,2012,2.258157,89.601494
547,230000,黑龙江,中部,2013,2.225211,94.018205
548,230000,黑龙江,中部,2014,2.16292,99.252209
549,230000,黑龙江,中部,2015,2.181433,104.444444
550,230000,黑龙江,中部,2016,2.175118,108.463252
551,230000,黑龙江,中部,2017,2.167075,113.513514
552,230000,黑龙江,中部,2018,2.114677,121.710526
553,230000,黑龙江,中部,2019,2.065479,129.166667
554,230000,黑龙江,中部,2020,1.92448,135.563703
555,230000,黑龙江,中部,2021,1.880821,138.059701
556,230000,黑龙江,中部,2022,1.886311,141.7383
557,230000,黑龙江,中部,2023,1.847135,147.070506
558,230000,黑龙江,中部,2024,1.822831,
